,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
35387,"WRUV 1/10/24, 6:05 AM",64581,Program Director,2024-01-10,6:43:59 AM,Slowe,Feel,Where The Mind Wanders,0,0,,BELIEVE - Tru Thoughts,5060609666231,0,0,,,,,,,,,,,,
35388,"WRUV 1/10/24, 6:05 AM",64581,Program Director,2024-01-10,6:47:58 AM,The Sextones,Beck & Call,Beck & Call,0,0,R&B/Soul,ORCHARD - Record Kicks,5050580794665,0,0,0.524,0.435,0.435,-7.894,0.0,0.0434,0.135,6.74e-05,0.0681,0.547,142.03,175840.0
35389,"WRUV 1/10/24, 6:05 AM",64581,Program Director,2024-01-10,6:50:54 AM,MDC,Come On Talk to Me,Come On Talk to Me,0,0,Electronic,WeZienWel Records,055120154324,0,0,,,,,,,,,,,,
35390,"WRUV 1/10/24, 6:05 AM",64581,Program Director,2024-01-10,6:58:31 AM,Bill Evans,My Man's Gone Now,Three Classic Albums Plus (Portrait in Jazz / Everybody Digs Bill Evans / Sunday at the Village Vanguard) [Remastered],0,0,Jazz,Documents 2,888608930314,0,0,,,,,,,,,,,,
35391,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:04:56 AM,Tanlines,Outer Banks,Outer Banks,0,0,,MERLIN - Merge Records,673855082820,0,0,,,,,,,,,,,,
35392,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:08:08 AM,Jewel,Who Will Save Your Soul - Live At Colegio Oficial de Medicos de Madrid / 1999,Spirit (Deluxe Edition),0,0,,Craft Recordings,00888072544246,1,0,0.584,0.667,0.667,-9.293,1.0,0.104,0.432,0.000119,0.671,0.525,131.428,305705.0
35393,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:13:10 AM,Whatitdo Archive Group,The Cashmere Chamber,The Cashmere Chamber,0,0,R&B/Soul,ORCHARD - Record Kicks,5050580794634,0,0,0.691,0.722,0.722,-7.164,0.0,0.0331,0.0408,0.851,0.109,0.667,94.036,209893.0
35394,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:16:42 AM,Chris Walton,Soon,Soon,0,0,Rock,Chris Walton,859766842962,0,0,,,,,,,,,,,,
35395,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:19:35 AM,Dave McMurray,Scarlet Begonias,Scarlet Begonias,0,0,Jazz,UMG - Blue Note Records,00602455538116,0,0,,,,,,,,,,,,
35396,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:25:24 AM,CHAI,PARA PARA,PARA PARA,0,0,,Subpop Record Group,098787158564,0,0,,,,,,,,,,,,
35397,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:28:17 AM,Jeff Coffin,Ruthie,Between Dreaming and Joy,0,0,Jazz,Ear Up Records,658580496043,0,0,,,,,,,,,,,,
35398,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:32:24 AM,Danger Mouse,Brooklyn Basquiat,Brooklyn Basquiat,0,0,Hip Hop/Rap,Lex Records,878390009657,0,0,,,,,,,,,,,,
35399,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:42:06 AM,Daniel Casimir,Lost,Lost,0,0,Jazz,UMG - Decca (UMO),00602445794331,0,0,,,,,,,,,,,,
35400,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:48:02 AM,Albert Hammond Jr,Old Man,Melodies on Hiatus - Part 1,0,0,Rock,ORCHARD - Red Bull Records,844942093825,0,0,,,,,,,,,,,,
35401,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:51:36 AM,Genesis Owusu,Leaving The Light,Leaving The Light,0,0,Hip Hop/Rap,OURNESS,197188874469,0,0,0.607,0.804,0.804,-6.111,1.0,0.0638,0.316,3.32e-05,0.0991,0.345,171.922,190053.0
35402,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:54:48 AM,Ruth Harley,Santa Baby,"Santa's Funk & Soul Christmas Party, Vol. 4",0,0,R&B/Soul,Tramp Records,5050580791220,0,0,,,,,,,,,,,,
35403,Raspberry Jam,160088,DJ Cheddar,2024-01-10,7:57:56 AM,Meridian Brothers,Hipnosis,Meridian Brothers & El Grupo Renacimiento,0,0,,BELIEVE - Ansonia Records,3616847293917,0,0,,,,,,,,,,,,
35404,Raspberry Jam,160088,DJ Cheddar,2024-01-10,8:02:58 AM,JOSEPH,Nervous System,Nervous System,0,0,,ATO Records,880882558055,0,0,0.713,0.739,0.739,-4.635,0.0,0.0443,0.327,0.00353,0.192,0.646,118.982,157400.0
35405,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:04:23 AM,JOSEPH,Nervous System,The Sun,0,0,Folk,ATO Records,5400863121211,0,0,0.713,0.739,0.739,-4.635,0.0,0.0443,0.327,0.00353,0.192,0.646,118.982,157400.0
35406,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:05:35 AM,Of Montreal,Jigsaw Puzzle,Jigsaw Puzzle,0,0,,WMG - Polyvinyl Records,644110027597,0,0,,,,,,,,,,,,
35407,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:08:23 AM,Wunderhorse,Purple,Cub,0,0,,BELIEVE - Communion Records,5060496189110,0,0,,,,,,,,,,,,
35408,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:13:54 AM,Luminous Crush,Be Soon,Farewell to the Rainbow Cattle Company,0,0,Country,Lonely Highway,019798804318,0,0,,,,,,,,,,,,
35409,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:16:49 AM,Richy Mitch & The Coal Miners,Signal Sender,Signal Sender,0,0,Folk,Band of Wolves,193436342247,0,0,0.28,0.461,0.461,-11.184,0.0,0.0353,0.0827,0.00392,0.215,0.201,93.072,200137.0
35410,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:20:09 AM,Arcy Drive,Time Shrinks,Time Shrinks,0,0,Rock,ORCHARD - Grand Jury Music,197189660139,0,0,0.607,0.725,0.725,-6.11,1.0,0.0323,0.193,2.67e-05,0.0773,0.368,85.038,216531.0
35411,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:26:04 AM,Wilderado,In Between,In Between,0,0,Rock,Bright Antenna,850041979656,0,0,,,,,,,,,,,,
35412,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:33:23 AM,Luminous Crush,No Reciprocity,Farewell to the Rainbow Cattle Company,0,0,Country,Lonely Highway,019798804318,0,0,,,,,,,,,,,,
35413,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:35:34 AM,Arts Fishing Club,foster falls,foster falls,0,0,Folk,Al's Fish Camp,197547342462,0,0,0.56,0.87,0.87,-5.299,1.0,0.0348,0.127,0.311,0.0951,0.689,96.841,196162.0
35414,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:38:50 AM,Krooked Kings,Coming of Age,Coming of Age,0,0,Rock,Krooked Kings,717337626215,0,0,,,,,,,,,,,,
35415,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:45:35 AM,Luminous Crush,Never Sell It Better,Farewell to the Rainbow Cattle Company,0,0,Country,Lonely Highway,019798804318,0,0,0.478,0.425,0.425,-11.507,1.0,0.0267,0.555,0.0,0.219,0.406,74.985,233600.0
35416,Sienna Boo O'Clock,160034,Royce Ankel,2024-01-10,8:49:28 AM,Krooked Kings,Wish We Could Be Friends,All Out of Good Days,0,0,Rock,Nobody Gets It,821555568322,0,0,0.555,0.752,0.752,-7.52,1.0,0.0296,0.0106,0.000219,0.33,0.347,92.482,153515.0
